Year,State,ENR1G,ENR2G,ENR3G,ENR4G,ENR5G,ENRTOTG,ENR1P,ENR2P,ENR3P,ENR4P,ENR5P,ENRTOTP
2012-13,A & N ISLANDS,8738,8053,12139,1043,3075,33048,2853,2289,5408,0,0,10550
2012-13,ANDHRA PRADESH,3016360,1004107,154694,1133,1501068,5677362,2081829,1127413,122220,0,1124381,4455843
2012-13,ARUNACHAL PRADESH,89240,117796,21513,4596,5697,238842,12735,32435,6837,0,18,52025
2012-13,ASSAM,2875046,169097,12731,689978,140773,3887625,57933,93631,40058,512048,7290,710960
2012-13,BIHAR,6384330,11753081,29281,91300,11858,18269850,1756,39388,63418,3096,5592,113250
2012-13,CHANDIGARH,3154,15463,42955,0,276,61848,1107,4216,35804,0,676,41803
2012-13,CHHATTISGARH,2348986,19292,16156,1354695,11607,3750736,178074,384699,300956,40537,18994,923260
2012-13,DADRA & NAGAR HAVELI,9165,35112,699,36,174,45186,1676,1844,5459,0,0,8979
2012-13,DAMAN & DIU,8510,1210,0,3067,2054,14841,756,1161,5805,0,266,7988
2012-13,DELHI,913211,5495,422400,10768,296728,1648602,183794,190175,578609,2906,23654,979138
2012-13,GOA,26426,3704,3226,34,715,34105,31643,2751,6715,971,141,42221
2012-13,GUJARAT,705607,5422120,17723,49589,4709,6199748,111245,1677449,896063,56157,26251,2767165
2012-13,HARYANA,1343334,313,21549,208025,304474,1877695,84286,305125,975696,972,10899,1376978
2012-13,HIMACHAL PRADESH,381083,843,9023,85692,125138,601779,24639,58339,133360,144,1492,217974
2012-13,JAMMU & KASHMIR,324953,582003,50910,6548,11799,976213,67563,271710,179530,20,93,518916
2012-13,JHARKHAND,1723979,2909109,56290,5870,36875,4732123,81801,303474,341773,2404,31579,761031
2012-13,KARNATAKA,735321,3519563,14817,29067,11377,4310145,299973,1973352,461385,19554,7288,2761552
2012-13,KERALA,235015,246945,194729,14905,175460,867054,570638,726293,759557,124446,368087,2549021
2012-13,LAKSHADWEEP,2855,3546,1153,732,1276,9562,0,0,0,0,0,0
2012-13,MADHYA PRADESH,6450524,13452,46013,3376712,8946,9895647,615095,2742032,1193030,93486,22066,4665709
2012-13,MAHARASHTRA,2122646,4226944,127956,2524,88515,6568585,1664943,2238047,278498,1552,2132732,6315772
2012-13,MANIPUR,109417,39116,6733,1291,3028,159585,25588,75481,36541,2179,523,140312
2012-13,MEGHALAYA,258328,1418,3014,98072,3123,363955,205675,21058,8437,62873,11239,309282
2012-13,MIZORAM,94136,27621,0,65562,0,187319,11384,48837,0,6771,0,66992
2012-13,NAGALAND,126764,18912,1353,21804,5385,174218,16064,40868,58889,65,549,116435
2012-13,ODISHA,2090522,2490780,18693,221443,6411,4827849,80287,197727,49247,95547,456,423264
2012-13,PONDICHERRY,19680,10511,2386,0,10764,43341,3117,11210,65396,0,0,79723
2012-13,PUNJAB,1202381,18479,144891,217775,278833,1862359,46983,149416,559810,265,22397,778871
2012-13,RAJASTHAN,2397377,3113248,117793,19480,241948,5889846,364277,2230021,1599692,1092,69165,4264247
2012-13,SIKKIM,19904,30032,19269,261,1144,70610,8236,12144,6787,0,8,27175
2012-13,TAMIL NADU,1511453,1272205,43147,6229,1080529,3913563,1625484,764972,2565844,8258,783140,5747698
2012-13,TRIPURA,114397,158403,117893,348,10384,401425,10867,7449,26498,0,1929,46743
2012-13,UTTAR PRADESH,13945916,180807,126237,4067809,214753,18535522,9163228,3127396,901013,2726247,1304757,17222641
2012-13,UTTARAKHAND,533621,3912,20749,130438,105538,794258,279802,154325,178546,59567,54172,726412
2012-13,WEST BENGAL,6908851,18460,73053,831589,4272095,12104048,675397,125127,115759,20021,31928,968232
2013-14,A & N ISLANDS,8624,6839,13044,0,2669,31176,2571,3015,4960,0,0,10546
2013-14,ANDHRA PRADESH,2966860,967219,88023,170,82347,4104619,2060205,1253648,34074,250,2390,3350567
2013-14,ARUNACHAL PRADESH,76810,117402,17170,4307,6053,221742,12693,37619,3736,0,37,54085
2013-14,ASSAM,3220438,165470,13612,849589,147752,4396861,58543,111580,41600,326251,5680,543654
2013-14,BIHAR,6529417,12591308,14120,120610,8025,19263480,103796,201915,106020,4345,10861,426937
2013-14,CHANDIGARH,2524,13200,45416,0,269,61409,1401,2702,35976,0,1086,41165
2013-14,CHHATTISGARH,2184803,37677,16319,1153890,20346,3413035,141663,360067,362431,24178,13002,901341
2013-14,DADRA & NAGAR HAVELI,8253,34796,686,39,172,43946,2273,2512,6457,0,0,11242
2013-14,DAMAN & DIU,8161,1418,0,2876,1265,13720,874,503,8692,0,257,10326
2013-14,DELHI,874558,4018,454551,11628,321404,1666159,192535,236230,607525,3235,23874,1063399
2013-14,GOA,25143,3391,4090,37,880,33541,33587,2726,5402,1398,0,43113
2013-14,GUJARAT,700185,5300764,34544,54746,5217,6095456,129309,1809278,827742,76247,27417,2869993
2013-14,HARYANA,1273177,494,24651,220508,336187,1855017,75036,312180,920343,829,11351,1319739
2013-14,HIMACHAL PRADESH,361329,924,9996,81579,123147,576975,22881,62300,161415,48,1187,247831
2013-14,JAMMU & KASHMIR,330999,549166,35097,6021,7128,928411,69016,276105,133389,31,84,478625
2013-14,JHARKHAND,1668546,2837618,27973,5358,35458,4574953,66761,257896,318576,2576,13883,659692
2013-14,KARNATAKA,717739,3363432,22207,13225,8887,4125490,309857,1999269,338686,19447,4592,2671851
2013-14,KERALA,226185,221184,181062,13377,197052,838860,527479,661684,760988,117429,392252,2459832
2013-14,LAKSHADWEEP,2482,3004,1092,711,1000,8289,0,0,0,0,0,0
2013-14,MADHYA PRADESH,6065235,13571,51027,3367614,10221,9507668,479825,2540483,1164343,75775,18027,4278453
2013-14,MAHARASHTRA,2130706,3742600,91966,4789,64902,6034963,1770923,2557733,285668,2288,2102570,6719182
2013-14,MANIPUR,112728,38812,7817,2086,3551,164994,23747,66578,43793,2119,408,136645
2013-14,MEGHALAYA,263206,1221,4734,90151,4208,363520,212646,19637,9738,65724,15492,323237
2013-14,MIZORAM,71330,3769,0,54090,0,129189,8155,41457,19,6321,0,55952
2013-14,NAGALAND,119940,26578,1664,24548,4881,177611,14968,39069,61277,0,184,115498
2013-14,ODISHA,1964102,2523251,17502,227318,9324,4741497,79861,226098,59080,95470,181,460690
2013-14,PONDICHERRY,18148,9046,2325,0,9964,39483,3409,9059,68735,0,0,81203
2013-14,PUNJAB,1170646,76161,201631,207372,273867,1929677,72365,283440,787612,237,21901,1165555
2013-14,RAJASTHAN,2379626,2778462,44681,19527,291446,5513742,363148,2253561,1577785,1659,65543,4261696
2013-14,SIKKIM,17294,27587,20279,293,807,66260,7608,12699,6628,0,0,26935
2013-14,TAMIL NADU,1487031,1249624,45606,1137,1074774,3858172,1472549,741668,2507715,9740,798491,5530163
2013-14,TRIPURA,102276,147558,114476,350,9906,374566,12632,12305,30084,0,1759,56780
2013-14,UTTAR PRADESH,13379903,120267,91979,3981189,115601,17688939,8740345,3306720,1131692,2645890,1604409,17429056
2013-14,UTTARAKHAND,508929,3108,25953,125550,101770,765310,274540,212252,194742,54325,51915,787774
2013-14,WEST BENGAL,5793270,21887,61154,867959,3902505,10646775,622990,132493,96887,25208,23835,901413
2014-15,A & N ISLANDS,8223,6827,12390,10,2761,38235,2188,3690,5102,0,0,12592
2014-15,ANDHRA PRADESH,1647497,560674,54791,0,39024,3368535,982429,652700,21473,76,1169,2479036
2014-15,ARUNACHAL PRADESH,73903,113543,10634,4085,6064,238730,12839,40889,8826,0,4,84831
2014-15,ASSAM,3172586,165207,15494,849699,145487,4523278,60350,124216,53206,313035,3035,883431
2014-15,BIHAR,6581126,12190749,216208,116043,7693,20266089,59271,422927,142548,5661,12658,745674
2014-15,CHANDIGARH,2043,11514,45858,0,274,106491,1533,2613,37242,0,883,53735
2014-15,CHHATTISGARH,2077066,43583,17059,1112200,25040,3430217,146434,379005,397222,25278,12969,1103156
2014-15,DADRA & NAGAR HAVELI,7608,33551,690,43,167,42203,1410,4473,7078,0,0,15969
2014-15,DAMAN & DIU,9011,0,0,5584,243,15164,834,697,8557,0,257,12993
2014-15,DELHI,843237,3067,458363,10477,308871,1704446,203763,299075,632402,3153,22143,1286621
2014-15,GOA,22643,3654,4100,0,841,39880,34274,2496,5445,1069,0,156648
2014-15,GUJARAT,669085,5160215,33666,59683,5631,5941473,128146,1941219,785161,85123,27747,3199525
2014-15,HARYANA,1201548,1141,23902,216803,352743,1988816,70174,325971,986029,265,10754,1895828
2014-15,HIMACHAL PRADESH,338356,605,9814,71200,132510,600204,22591,66139,165133,0,869,358459
2014-15,JAMMU & KASHMIR,322869,524728,22690,5697,6052,1025747,77931,285001,158848,45,265,827299
2014-15,JHARKHAND,1590413,2702819,24186,5044,34096,4827868,61676,254164,284374,14014,8067,902634
2014-15,KARNATAKA,695926,3181479,25044,13195,8299,4360499,331240,2031374,389907,23854,4062,3979746
2014-15,KERALA,223326,201407,183913,12832,166916,906499,515047,632917,783045,111724,340213,2890094
2014-15,LAKSHADWEEP,2570,2668,1031,678,941,7888,0,0,0,0,0,0
2014-15,MADHYA PRADESH,5375570,3217,55536,3266132,8656,8715731,285611,2255696,1396859,18972,17796,4628595
2014-15,MAHARASHTRA,2105964,3664260,92780,4998,58049,6205735,1753872,2754712,351785,2386,2033420,9898243
2014-15,MANIPUR,102756,35674,6064,2150,3537,194536,21359,57578,43010,1827,602,296830
2014-15,MEGHALAYA,264672,1081,5445,90744,4699,372706,220191,23872,8033,83395,7048,377779
2014-15,MIZORAM,62885,942,0,48620,0,112447,17730,68604,0,15186,0,101520
2014-15,NAGALAND,71308,62394,1514,6806,5941,169521,9438,29853,62390,0,62,184789
2014-15,ODISHA,1868634,2476944,22872,222790,9889,5243023,77624,296269,73598,94415,751,914924
2014-15,PONDICHERRY,17226,7914,2237,14,8849,50499,3511,7568,71341,0,0,121067
2014-15,PUNJAB,1113470,56148,138500,206080,275542,2109774,73514,282706,891321,546,19184,1813434
2014-15,RAJASTHAN,1382373,2424398,824692,18409,58425,5940518,330306,2329753,1724945,1516,51740,5898584
2014-15,SIKKIM,14609,22920,20290,353,661,79990,7511,12204,6230,0,0,30818
2014-15,TAMIL NADU,1493295,1285813,372725,4953,1003465,4160251,1426746,638719,2294865,4156,719786,5084272
2014-15,TRIPURA,97965,139628,113609,176,9932,485866,11869,11370,31970,0,1791,74142
2014-15,UTTAR PRADESH,12983150,41712,91724,3869374,87174,17096925,8723209,3523539,1334862,2683469,1781906,18840481
2014-15,UTTARAKHAND,478042,1279,26494,120855,108672,791443,263386,246945,211179,53571,46406,875607
2014-15,WEST BENGAL,5593428,24891,66105,901423,3982287,11525326,610873,140113,96119,23779,25958,963302
2015-16,A & N ISLANDS,7925,6524,12385,0,2680,37171,2134,4101,5064,0,0,12942
2015-16,ANDHRA PRADESH,1476132,521818,49674,0,37274,3128681,947768,601744,15295,46,670,2441204
2015-16,ARUNACHAL PRADESH,68976,109595,10740,4658,6697,232903,13148,42748,8834,0,0,87420
2015-16,ASSAM,2848826,152124,31361,789956,147710,4140192,56286,123647,87127,265756,3730,955449
2015-16,BIHAR,6964430,12941969,294110,127678,9245,21548009,58852,563475,141774,7142,12710,895815
2015-16,CHANDIGARH,1794,9361,41885,0,278,101884,1615,2536,40098,0,956,55040
2015-16,CHHATTISGARH,1947568,43850,17721,1089447,34801,3281478,143946,408139,425326,23024,12200,1159774
2015-16,DADRA & NAGAR HAVELI,7655,32998,702,50,173,41755,1276,4949,7344,0,0,17072
2015-16,DAMAN & DIU,8993,0,0,5349,222,14903,688,1095,9059,0,266,13075
2015-16,DELHI,822923,2661,464429,8378,301490,1675648,208762,321782,649647,2694,22031,1331362
2015-16,GOA,21287,3401,4381,0,804,37878,34436,3753,6955,1197,0,158431
2015-16,GUJARAT,645285,5049101,34685,62227,8164,5816280,132083,1993239,815089,86899,27270,3273318
2015-16,HARYANA,978955,1148,23963,183082,309128,1663751,70320,359472,1030288,237,10035,1970731
2015-16,HIMACHAL PRADESH,323802,683,9412,65560,132782,580395,22242,66673,171106,48,773,370337
2015-16,JAMMU & KASHMIR,327088,524018,22658,5451,6044,1024643,78487,291711,157765,0,431,832077
2015-16,JHARKHAND,1539984,2650820,23731,6353,43048,4729025,69687,255454,300774,10607,10615,929811
2015-16,KARNATAKA,681289,3088529,25988,13660,8940,4249264,356001,2040459,316266,26817,3607,4089590
2015-16,KERALA,220322,201727,181732,12086,160157,889125,520195,610394,785456,108133,332773,2901916
2015-16,LAKSHADWEEP,2265,2969,981,439,733,7576,0,0,0,0,0,0
2015-16,MADHYA PRADESH,4794587,2551,62396,3105174,8660,7979306,244035,2182602,1523899,13529,18905,4689747
2015-16,MAHARASHTRA,2034315,3503039,93780,2450,50351,5949222,1720614,2871614,483872,4586,1932211,10019040
2015-16,MANIPUR,93684,36755,7650,2274,3458,188020,19098,56431,48372,1532,377,301111
2015-16,MEGHALAYA,267825,1121,6260,92408,4917,379770,221859,25782,9839,85138,2423,388651
2015-16,MIZORAM,62747,920,0,48735,0,112402,19468,68229,0,14121,0,101818
2015-16,NAGALAND,54933,72335,1405,2489,5847,166596,8732,29906,64942,0,72,183100
2015-16,ODISHA,1751196,2377136,27332,222246,11320,5053711,86335,356328,96098,95603,720,1023703
2015-16,PONDICHERRY,16911,7160,2652,422,7936,48595,4048,6715,72881,0,0,120867
2015-16,PUNJAB,1035263,50345,179727,204332,281654,2072324,62430,226134,836764,496,17384,1651510
2015-16,RAJASTHAN,1419912,2474708,1598424,18761,68631,6266075,337076,2286283,1810962,1290,45760,5891623
2015-16,SIKKIM,12304,21337,19047,139,759,73272,7801,13043,6059,0,0,32025
2015-16,TAMIL NADU,1506247,1247230,287953,5201,630598,4170562,1489372,576279,1692114,3823,561100,5047629
2015-16,TRIPURA,92643,130479,115160,172,9579,468117,12501,15861,33975,0,1731,84693
2015-16,UTTAR PRADESH,12654790,43844,92517,3701871,89849,16602729,8309800,3745955,1350317,2773646,1826423,18876867
2015-16,UTTARAKHAND,452550,1134,26733,115742,108179,757209,238856,285233,229844,48314,46807,907076
2015-16,WEST BENGAL,5386115,25899,78579,906489,3967644,11193885,676453,158322,172319,25340,25443,1143436
2016-17,A & N ISLANDS,7250,6362,12888,0,1904,35616,2096,4120,5587,0,0,13529
2016-17,ANDHRA PRADESH,1402362,489756,48581,0,37973,3002476,953290,565159,13850,40,577,2520983
2016-17,ARUNACHAL PRADESH,49873,90682,9315,4974,5969,192487,12267,37067,8204,0,37,82799
2016-17,ASSAM,2836457,154453,34876,813757,149966,4165178,58531,141417,92548,281274,3011,1039297
2016-17,BIHAR,6402000,11851037,385918,113362,9755,20093002,45754,561654,129976,6997,11431,851594
2016-17,CHANDIGARH,1908,9161,42189,0,256,100687,983,3095,40660,0,1072,55095
2016-17,CHHATTISGARH,1845312,30643,36959,1037604,31367,3146492,140953,427517,439007,23503,12544,1187434
2016-17,DADRA & NAGAR HAVELI,6700,33217,726,44,188,41075,1221,5187,7272,0,0,18044
2016-17,DAMAN & DIU,8819,0,0,5297,275,14746,714,1121,9444,0,205,13905
2016-17,DELHI,779978,3533,473636,9410,296983,1634582,209118,326883,670276,2780,21930,1353919
2016-17,GOA,19766,3059,4358,0,757,35549,34621,2736,5384,600,0,158035
2016-17,GUJARAT,602079,4939195,36383,55098,14501,5664560,139055,2015360,842313,91809,29197,3346546
2016-17,HARYANA,915387,1195,26903,178710,291866,1569309,80417,422835,1126478,342,10207,2154469
2016-17,HIMACHAL PRADESH,311525,698,9749,56987,133160,558542,21201,69627,183053,0,553,382109
2016-17,JAMMU & KASHMIR,292365,496814,20917,5354,5626,954253,69855,236011,148003,0,595,738704
2016-17,JHARKHAND,1379664,2377703,66714,4244,47671,4302336,54184,218622,258680,10425,6474,765277
2016-17,KARNATAKA,668017,3024324,23638,13460,8556,4154999,367735,2033656,324723,24842,3419,4207304
2016-17,KERALA,223311,201975,177111,11788,155215,874991,509703,609245,781786,106585,328101,2905678
2016-17,LAKSHADWEEP,2128,2531,964,369,787,7278,0,0,0,0,0,0
2016-17,MADHYA PRADESH,4554567,3088,63622,2884081,8808,7520779,226387,2154492,1617073,11514,18427,4733923
2016-17,MAHARASHTRA,1992368,3328538,132076,628,11112,5718528,1710281,3001626,2247325,3820,212966,10182972
2016-17,MANIPUR,79363,33669,6853,1990,4593,165341,16684,45956,51596,1357,253,285578
2016-17,MEGHALAYA,249072,1080,6113,87762,4597,355573,197604,22557,10216,79828,2305,353663
2016-17,MIZORAM,55577,1000,0,45374,0,101951,17417,68009,0,13283,0,98709
2016-17,NAGALAND,37518,56780,1318,2368,5258,127127,7646,24959,60019,0,114,166991
2016-17,ODISHA,1641087,2294673,32019,214363,35011,4885098,85367,382691,101409,90900,906,1035901
2016-17,PONDICHERRY,16920,6892,2810,279,7323,47144,5040,5594,74987,0,33,121587
2016-17,PUNJAB,965661,52450,207100,170432,326544,2006389,59320,229427,890482,420,16937,1720848
2016-17,RAJASTHAN,1310243,2305877,1755634,20259,49764,6156649,315513,2269728,1818954,914,40699,5804988
2016-17,SIKKIM,10302,18097,17269,0,769,63794,7861,12558,5762,0,0,30987
2016-17,TAMIL NADU,1484199,1188408,343968,4776,617433,4157320,1411760,511223,1751454,3222,544470,4894499
2016-17,TRIPURA,87764,122092,112495,165,9311,449773,9196,15820,36409,0,1531,82997
2016-17,UTTAR PRADESH,11788713,39799,147132,3519731,90513,15612870,7214045,3489953,1428894,2578676,1816093,17355689
2016-17,UTTARAKHAND,423193,1161,27911,110245,105732,719342,207121,307921,245668,43250,45496,909327
2016-17,WEST BENGAL,5076344,27602,90178,875523,3709750,10502475,588529,136340,130334,20123,22135,969063
