STATNAME,,Total_Elec,YEAR,Total_Comp,Total_PG,Total_Schools
JAMMU & KASHMIR,,8923,2016-17,5146,10733,28714
HIMACHAL PRADESH,,16676,2016-17,4848,15597,18196
PUNJAB,,28700,2016-17,15201,28309,28717
CHANDIGARH,,201,2016-17,194,186,201
UTTARAKHAND,,17161,2016-17,8144,13962,23675
HARYANA,,22127,2016-17,11092,19236,22743
DELHI,,5722,2016-17,5023,5007,5727
RAJASTHAN,,61470,2016-17,33787,56476,105436
UTTAR PRADESH,,105619,2016-17,34559,174175,254204
BIHAR,,33513,2016-17,6496,28811,80897
SIKKIM,,1032,2016-17,777,876,1317
ARUNACHAL PRADESH,,1425,2016-17,980,1575,4021
NAGALAND,,1356,2016-17,1121,1257,2806
MANIPUR,,1595,2016-17,1286,2608,4854
MIZORAM,,1901,2016-17,928,1977,3077
TRIPURA,,1424,2016-17,772,3037,4861
MEGHALAYA,,2835,2016-17,1364,4459,13258
ASSAM,,13381,2016-17,5997,37729,66286
WEST BENGAL,,76291,2016-17,12612,39410,96418
JHARKHAND,,14578,2016-17,4999,25216,46629
ODISHA,,22817,2016-17,10730,22580,68977
CHHATTISGARH,,35555,2016-17,5965,28259,51185
MADHYA PRADESH,,39116,2016-17,21714,96931,143584
GUJARAT,,44498,2016-17,32972,35264,44545
DAMAN & DIU,,120,2016-17,99,61,120
DADRA & NAGAR HAVELI,,320,2016-17,192,135,321
MAHARASHTRA,,89626,2016-17,65152,91499,104971
ANDHRA PRADESH,,57330,2016-17,18860,34159,61514
KARNATAKA,,59263,2016-17,21868,39496,62002
GOA,,1450,2016-17,621,709,1452
LAKSHADWEEP,,41,2016-17,41,12,41
KERALA,,15873,2016-17,15598,12111,16466
TAMIL NADU,,57585,2016-17,33646,44957,57992
PUDUCHERRY,,725,2016-17,724,539,725
A & N ISLANDS,,361,2016-17,231,239,411
JAMMU & KASHMIR,,8078,2015-16,4916,10604,28578
HIMACHAL PRADESH,,16401,2015-16,4680,15456,18024
PUNJAB,,28757,2015-16,15136,27853,28776
CHANDIGARH,,201,2015-16,190,187,201
UTTARAKHAND,,16514,2015-16,7910,13768,23660
HARYANA,,21726,2015-16,10450,18780,22268
DELHI,,5744,2015-16,4825,5026,5751
RAJASTHAN,,59662,2015-16,32284,56458,107931
UTTAR PRADESH,,99668,2015-16,32031,173437,245919
BIHAR,,27963,2015-16,6085,28295,80166
SIKKIM,,1026,2015-16,772,870,1279
ARUNACHAL PRADESH,,1388,2015-16,963,1564,4012
NAGALAND,,1337,2015-16,1112,1263,2799
MANIPUR,,1562,2015-16,1269,2602,4865
MIZORAM,,1863,2015-16,910,1971,3072
TRIPURA,,1366,2015-16,758,3002,4844
MEGHALAYA,,2705,2015-16,1284,4392,13277
ASSAM,,12850,2015-16,5731,37171,65894
WEST BENGAL,,69347,2015-16,12124,38652,95723
JHARKHAND,,7173,2015-16,4654,19210,47441
ODISHA,,20964,2015-16,9902,20908,68978
CHHATTISGARH,,32833,2015-16,5552,27670,50705
MADHYA PRADESH,,35140,2015-16,20806,93444,142587
GUJARAT,,43914,2015-16,32523,33894,44051
DAMAN & DIU,,120,2015-16,69,60,120
DADRA & NAGAR HAVELI,,322,2015-16,127,141,323
MAHARASHTRA,,84392,2015-16,55893,85623,98213
ANDHRA PRADESH,,55922,2015-16,17785,33051,60435
KARNATAKA,,59781,2015-16,21141,39568,61739
GOA,,1458,2015-16,609,702,1462
LAKSHADWEEP,,41,2015-16,41,10,41
KERALA,,15805,2015-16,15520,12061,16458
TAMIL NADU,,56773,2015-16,33138,44295,57539
PUDUCHERRY,,719,2015-16,710,521,719
A & N ISLANDS,,359,2015-16,232,238,410
JAMMU & KASHMIR,,6853,2014-15,4716,10382,28543
HIMACHAL PRADESH,,15736,2014-15,4275,15149,17956
PUNJAB,,28985,2014-15,15196,27684,29023
CHANDIGARH,,197,2014-15,188,183,197
UTTARAKHAND,,16171,2014-15,7800,13868,23665
HARYANA,,21157,2014-15,10037,18172,21791
DELHI,,5736,2014-15,4650,4924,5739
RAJASTHAN,,57102,2014-15,30174,55008,106254
UTTAR PRADESH,,97486,2014-15,30320,172522,243014
BIHAR,,17911,2014-15,5296,27717,79196
SIKKIM,,835,2014-15,746,855,1274
ARUNACHAL PRADESH,,1329,2014-15,953,1527,3903
NAGALAND,,1105,2014-15,1055,1206,2963
MANIPUR,,1309,2014-15,1188,2617,4858
MIZORAM,,1770,2014-15,906,1692,3067
TRIPURA,,1304,2014-15,728,2956,4818
MEGHALAYA,,2583,2014-15,1188,4318,13175
ASSAM,,11644,2014-15,5285,35407,65141
WEST BENGAL,,52602,2014-15,11588,36686,95572
JHARKHAND,,6365,2014-15,4326,15294,46773
ODISHA,,19014,2014-15,9309,20204,68305
CHHATTISGARH,,31607,2014-15,5539,28184,53299
MADHYA PRADESH,,34693,2014-15,20436,92858,142512
GUJARAT,,43485,2014-15,32326,33283,43638
DAMAN & DIU,,120,2014-15,72,57,120
DADRA & NAGAR HAVELI,,314,2014-15,118,131,320
MAHARASHTRA,,83937,2014-15,52688,84916,97084
ANDHRA PRADESH,,57328,2014-15,17061,33525,61915
KARNATAKA,,59701,2014-15,20577,39233,61628
GOA,,1454,2014-15,601,668,1478
LAKSHADWEEP,,43,2014-15,43,11,43
KERALA,,15605,2014-15,15365,11878,16419
TAMIL NADU,,56003,2014-15,32727,43675,57153
PUDUCHERRY,,722,2014-15,706,508,722
A & N ISLANDS,,356,2014-15,233,236,410
JAMMU & KASHMIR,,6031,2013-14,4475,10327,25325
HIMACHAL PRADESH,,15440,2013-14,3982,15179,16297
PUNJAB,,29156,2013-14,15167,27924,24515
CHANDIGARH,,192,2013-14,184,180,122
UTTARAKHAND,,15298,2013-14,7489,13429,22279
HARYANA,,21454,2013-14,9686,17842,18504
DELHI,,5386,2013-14,4395,4400,4998
RAJASTHAN,,59846,2013-14,27604,58456,103484
UTTAR PRADESH,,94312,2013-14,26591,171950,236582
BIHAR,,6189,2013-14,3457,26199,75078
SIKKIM,,826,2013-14,681,858,1150
ARUNACHAL PRADESH,,1260,2013-14,929,1510,3621
NAGALAND,,1171,2013-14,1165,1313,2824
MANIPUR,,1262,2013-14,1168,2541,3859
MIZORAM,,1730,2013-14,935,1541,2922
TRIPURA,,1124,2013-14,547,2778,4226
MEGHALAYA,,2465,2013-14,1089,4210,12750
ASSAM,,10232,2013-14,4932,32550,61836
WEST BENGAL,,38934,2013-14,10222,32757,91381
JHARKHAND,,5564,2013-14,4014,14847,43810
ODISHA,,17562,2013-14,7136,20045,58511
CHHATTISGARH,,27506,2013-14,4745,26422,51581
MADHYA PRADESH,,34749,2013-14,18692,86232,140598
GUJARAT,,43045,2013-14,31387,32674,42333
DAMAN & DIU,,113,2013-14,65,56,100
DADRA & NAGAR HAVELI,,304,2013-14,114,121,309
MAHARASHTRA,,82737,2013-14,48699,79387,86547
ANDHRA PRADESH,,92926,2013-14,31525,59971,83875
KARNATAKA,,59016,2013-14,18369,38724,58400
GOA,,1477,2013-14,582,646,1119
LAKSHADWEEP,,44,2013-14,44,12,44
KERALA,,16001,2013-14,15774,12055,15398
TAMIL NADU,,55089,2013-14,30732,43150,56785
PUDUCHERRY,,717,2013-14,691,486,520
A & N ISLANDS,,396,2013-14,239,261,406
JAMMU & KASHMIR,,5299,2012-13,4228,10124,25715
HIMACHAL PRADESH,,12524,2012-13,3808,14719,16000
PUNJAB,,29587,2012-13,15008,24304,25313
CHANDIGARH,,187,2012-13,181,179,125
UTTARAKHAND,,12449,2012-13,7250,13342,22165
HARYANA,,20434,2012-13,9149,16889,18922
DELHI,,5054,2012-13,3974,3770,4656
RAJASTHAN,,48590,2012-13,25438,54673,99607
UTTAR PRADESH,,77213,2012-13,24437,175910,236545
BIHAR,,3258,2012-13,1228,23520,70052
SIKKIM,,700,2012-13,643,819,1158
ARUNACHAL PRADESH,,994,2012-13,868,1464,4214
NAGALAND,,1014,2012-13,1043,1321,2859
MANIPUR,,955,2012-13,1031,2381,3828
MIZORAM,,1477,2012-13,832,1484,3009
TRIPURA,,711,2012-13,603,2857,4176
MEGHALAYA,,1795,2012-13,977,4183,12691
ASSAM,,7443,2012-13,4452,32046,59546
WEST BENGAL,,29194,2012-13,9135,31289,92175
JHARKHAND,,4660,2012-13,3793,14338,43545
ODISHA,,14537,2012-13,6218,19943,58107
CHHATTISGARH,,13517,2012-13,4420,21960,53326
MADHYA PRADESH,,31788,2012-13,17516,80442,140713
GUJARAT,,40493,2012-13,30572,31557,41807
DAMAN & DIU,,113,2012-13,63,64,106
DADRA & NAGAR HAVELI,,248,2012-13,103,114,305
MAHARASHTRA,,75991,2012-13,45168,71437,85924
ANDHRA PRADESH,,88336,2012-13,30624,61615,103409
KARNATAKA,,66611,2012-13,17289,38291,58701
GOA,,1485,2012-13,540,629,1111
LAKSHADWEEP,,46,2012-13,43,17,43
KERALA,,13588,2012-13,14706,11126,15298
TAMIL NADU,,53849,2012-13,30036,42468,56535
PUDUCHERRY,,706,2012-13,693,472,525
A & N ISLANDS,,369,2012-13,238,248,415
