year,grade,total,girls,boys,x,State
2016-17,1,6053,2877,3176,A & N ISLANDS,A & N ISLANDS
2016-17,2,6109,3013,3096,A & N ISLANDS,A & N ISLANDS
2016-17,3,6171,3067,3104,A & N ISLANDS,A & N ISLANDS
2016-17,4,6184,3097,3087,A & N ISLANDS,A & N ISLANDS
2016-17,5,6161,2996,3165,A & N ISLANDS,A & N ISLANDS
2016-17,6,6252,3041,3211,A & N ISLANDS,A & N ISLANDS
2016-17,7,6069,3025,3044,A & N ISLANDS,A & N ISLANDS
2016-17,8,6146,3020,3126,A & N ISLANDS,A & N ISLANDS
2015-16,1,6259,3081,3178,A & N ISLANDS,A & N ISLANDS
2015-16,2,6295,3129,3166,A & N ISLANDS,A & N ISLANDS
2015-16,3,6288,3123,3165,A & N ISLANDS,A & N ISLANDS
2015-16,4,6229,3018,3211,A & N ISLANDS,A & N ISLANDS
2015-16,5,6335,3064,3271,A & N ISLANDS,A & N ISLANDS
2015-16,6,6294,3131,3163,A & N ISLANDS,A & N ISLANDS
2015-16,7,6273,3068,3205,A & N ISLANDS,A & N ISLANDS
2015-16,8,6140,2980,3160,A & N ISLANDS,A & N ISLANDS
2014-15,1,6415,3188,3227,A & N ISLANDS,A & N ISLANDS
2014-15,2,6332,3124,3208,A & N ISLANDS,A & N ISLANDS
2014-15,3,6266,3052,3214,A & N ISLANDS,A & N ISLANDS
2014-15,4,6345,3065,3280,A & N ISLANDS,A & N ISLANDS
2014-15,5,6267,3131,3136,A & N ISLANDS,A & N ISLANDS
2014-15,6,6385,3120,3265,A & N ISLANDS,A & N ISLANDS
2014-15,7,6359,3075,3284,A & N ISLANDS,A & N ISLANDS
2014-15,8,6458,3158,3300,A & N ISLANDS,A & N ISLANDS
2013-14,1,6453,3186,3267,A & N ISLANDS,A & N ISLANDS
2013-14,2,6404,3088,3316,A & N ISLANDS,A & N ISLANDS
2013-14,3,6393,3101,3292,A & N ISLANDS,A & N ISLANDS
2013-14,4,6290,3127,3163,A & N ISLANDS,A & N ISLANDS
2013-14,5,6447,3154,3293,A & N ISLANDS,A & N ISLANDS
2013-14,6,6438,3097,3341,A & N ISLANDS,A & N ISLANDS
2013-14,7,6562,3230,3332,A & N ISLANDS,A & N ISLANDS
2013-14,8,6716,3245,3471,A & N ISLANDS,A & N ISLANDS
2016-17,1,687854,298108,389746,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,2,688423,329434,358989,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,3,703811,338737,365074,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,4,692445,333831,358614,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,5,703238,339958,363280,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,6,690110,333473,356637,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,7,704494,340563,363931,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,8,690345,334787,355558,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,1,687345,329712,357633,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,2,722695,347250,375445,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,3,714981,344353,370628,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,4,713279,344396,368883,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,5,708388,342634,365754,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,6,698983,338934,360049,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,7,701191,340751,360440,ANDHRA PRADESH,ANDHRA PRADESH
2015-16,8,664448,323072,341376,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,1,769860,370058,399802,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,2,756964,365814,391150,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,3,766641,371114,395527,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,4,753353,365430,387923,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,5,767938,372200,395738,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,6,730099,354568,375531,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,7,708092,345094,362998,ANDHRA PRADESH,ANDHRA PRADESH
2014-15,8,681449,330754,350695,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,1,1523814,732608,791206,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,2,1438735,697215,741520,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,3,1433293,697264,736029,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,4,1418565,689800,728765,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,5,1404424,684217,720207,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,6,1316848,644595,672253,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,7,1311600,641974,669626,ANDHRA PRADESH,ANDHRA PRADESH
2013-14,8,1241936,613257,628679,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,1,48920,23726,25194,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,2,37930,18365,19565,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,3,34485,16641,17844,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,4,32457,15806,16651,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,5,31520,15364,16156,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,6,33154,17099,16055,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,7,30756,15396,15360,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,8,29322,14867,14455,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,1,57224,27569,29655,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,2,46920,22965,23955,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,3,41839,20409,21430,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,4,38503,18930,19573,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,5,36744,18171,18573,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,6,35501,17988,17513,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,7,33235,16844,16391,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2015-16,8,32492,16252,16240,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,1,59217,28925,30292,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,2,47416,23071,24345,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,3,41921,20558,21363,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,4,39060,19328,19732,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,5,36430,17770,18660,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,6,35302,18038,17264,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,7,33824,16955,16869,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2014-15,8,32123,16022,16101,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,1,61954,30323,31631,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,2,46032,22444,23588,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,3,42696,21065,21631,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,4,38723,18906,19817,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,5,35647,17451,18196,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,6,35399,17711,17688,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,7,33056,16529,16527,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2013-14,8,31540,15807,15733,ARUNACHAL PRADESH,ARUNACHAL PRADESH
2016-17,1,875921,430459,445462,assam,ASSAM
2016-17,2,786392,387996,398396,assam,ASSAM
2016-17,3,735270,364298,370972,assam,ASSAM
2016-17,4,697197,346613,350584,assam,ASSAM
2016-17,5,670991,334642,336349,assam,ASSAM
2016-17,6,621569,318372,303197,assam,ASSAM
2016-17,7,591969,305379,286590,assam,ASSAM
2016-17,8,564533,293201,271332,assam,ASSAM
2015-16,1,898488,440217,458271,assam,ASSAM
2015-16,2,759411,375054,384357,assam,ASSAM
2015-16,3,717958,356128,361830,assam,ASSAM
2015-16,4,682790,340524,342266,assam,ASSAM
2015-16,5,662274,332441,329833,assam,ASSAM
2015-16,6,604319,309824,294495,assam,ASSAM
2015-16,7,568873,294201,274672,assam,ASSAM
2015-16,8,537940,279266,258674,assam,ASSAM
2014-15,1,968591,475558,493033,assam,ASSAM
2014-15,2,835361,412410,422951,assam,ASSAM
2014-15,3,790059,391817,398242,assam,ASSAM
2014-15,4,752075,375972,376103,assam,ASSAM
2014-15,5,703557,352743,350814,assam,ASSAM
2014-15,6,631819,325823,305996,assam,ASSAM
2014-15,7,593778,307737,286041,assam,ASSAM
2014-15,8,578038,300081,277957,assam,ASSAM
2013-14,1,958267,471152,487115,assam,ASSAM
2013-14,2,836816,413222,423594,assam,ASSAM
2013-14,3,794914,396082,398832,assam,ASSAM
2013-14,4,737158,368099,369059,assam,ASSAM
2013-14,5,686551,344561,341990,assam,ASSAM
2013-14,6,613097,315440,297657,assam,ASSAM
2013-14,7,591435,305582,285853,assam,ASSAM
2013-14,8,587946,304371,283575,assam,ASSAM
2016-17,1,2539841,1244743,1295098,bihar,BIHAR
2016-17,2,3140218,1559440,1580778,bihar,BIHAR
2016-17,3,3052098,1525686,1526412,bihar,BIHAR
2016-17,4,3073569,1528854,1544715,bihar,BIHAR
2016-17,5,2923359,1452790,1470569,bihar,BIHAR
2016-17,6,2396390,1204696,1191694,bihar,BIHAR
2016-17,7,2373857,1210570,1163287,bihar,BIHAR
2016-17,8,2220132,1130593,1089539,bihar,BIHAR
2015-16,1,3392382,1666299,1726083,bihar,BIHAR
2015-16,2,3194536,1586682,1607854,bihar,BIHAR
2015-16,3,3305396,1632816,1672580,bihar,BIHAR
2015-16,4,3139774,1552067,1587707,bihar,BIHAR
2015-16,5,3138000,1557235,1580765,bihar,BIHAR
2015-16,6,2550091,1286962,1263129,bihar,BIHAR
2015-16,7,2407456,1215344,1192112,bihar,BIHAR
2015-16,8,2304150,1170384,1133766,bihar,BIHAR
2014-15,1,3055066,1500673,1554393,bihar,BIHAR
2014-15,2,3147730,1550821,1596909,bihar,BIHAR
2014-15,3,3083682,1520905,1562777,bihar,BIHAR
2014-15,4,3061106,1515064,1546042,bihar,BIHAR
2014-15,5,2992885,1493188,1499697,bihar,BIHAR
2014-15,6,2376666,1195671,1180995,bihar,BIHAR
2014-15,7,2293249,1162765,1130484,bihar,BIHAR
2014-15,8,2122733,1077217,1045516,bihar,BIHAR
2013-14,1,3129256,1529516,1599740,bihar,BIHAR
2013-14,2,2971831,1461738,1510093,bihar,BIHAR
2013-14,3,3057382,1511932,1545450,bihar,BIHAR
2013-14,4,2996389,1496470,1499919,bihar,BIHAR
2013-14,5,2865897,1430961,1434936,bihar,BIHAR
2013-14,6,2307584,1166037,1141547,bihar,BIHAR
2013-14,7,2141782,1086119,1055663,bihar,BIHAR
2013-14,8,1768836,887578,881258,bihar,BIHAR
2016-17,1,15852,7458,8394,chandigarh,CHANDIGARH
2016-17,2,16905,7921,8984,chandigarh,CHANDIGARH
2016-17,3,18945,8924,10021,chandigarh,CHANDIGARH
2016-17,4,19683,9215,10468,chandigarh,CHANDIGARH
2016-17,5,20275,9222,11053,chandigarh,CHANDIGARH
2016-17,6,21417,9773,11644,chandigarh,CHANDIGARH
2016-17,7,21629,9903,11726,chandigarh,CHANDIGARH
2016-17,8,21692,9913,11779,chandigarh,CHANDIGARH
2015-16,1,15688,7390,8298,chandigarh,CHANDIGARH
2015-16,2,17782,8420,9362,chandigarh,CHANDIGARH
2015-16,3,19074,9019,10055,chandigarh,CHANDIGARH
2015-16,4,19983,9159,10824,chandigarh,CHANDIGARH
2015-16,5,20703,9584,11119,chandigarh,CHANDIGARH
2015-16,6,21642,10019,11623,chandigarh,CHANDIGARH
2015-16,7,21754,10051,11703,chandigarh,CHANDIGARH
2015-16,8,21295,9488,11807,chandigarh,CHANDIGARH
2014-15,1,16693,7908,8785,chandigarh,CHANDIGARH
2014-15,2,18373,8684,9689,chandigarh,CHANDIGARH
2014-15,3,19582,9007,10575,chandigarh,CHANDIGARH
2014-15,4,20550,9477,11073,chandigarh,CHANDIGARH
2014-15,5,21169,9869,11300,chandigarh,CHANDIGARH
2014-15,6,21711,10140,11571,chandigarh,CHANDIGARH
2014-15,7,21344,9555,11789,chandigarh,CHANDIGARH
2014-15,8,21321,9406,11915,chandigarh,CHANDIGARH
2013-14,1,16894,7965,8929,chandigarh,CHANDIGARH
2013-14,2,18591,8572,10019,chandigarh,CHANDIGARH
2013-14,3,19937,9283,10654,chandigarh,CHANDIGARH
2013-14,4,20775,9771,11004,chandigarh,CHANDIGARH
2013-14,5,21327,10059,11268,chandigarh,CHANDIGARH
2013-14,6,21688,9729,11959,chandigarh,CHANDIGARH
2013-14,7,21475,9563,11912,chandigarh,CHANDIGARH
2013-14,8,20498,8848,11650,chandigarh,CHANDIGARH
2016-17,1,558819,272286,286533,chhattisgarh,CHHATTISGARH
2016-17,2,542253,264247,278006,chhattisgarh,CHHATTISGARH
2016-17,3,538826,263374,275452,chhattisgarh,CHHATTISGARH
2016-17,4,524474,256385,268089,chhattisgarh,CHHATTISGARH
2016-17,5,546324,267360,278964,chhattisgarh,CHHATTISGARH
2016-17,6,548556,270250,278306,chhattisgarh,CHHATTISGARH
2016-17,7,559124,276271,282853,chhattisgarh,CHHATTISGARH
2016-17,8,531875,266455,265420,chhattisgarh,CHHATTISGARH
2015-16,1,566422,275625,290797,chhattisgarh,CHHATTISGARH
2015-16,2,551042,268807,282235,chhattisgarh,CHHATTISGARH
2015-16,3,537285,262229,275056,chhattisgarh,CHHATTISGARH
2015-16,4,560407,274406,286001,chhattisgarh,CHHATTISGARH
2015-16,5,577849,283483,294366,chhattisgarh,CHHATTISGARH
2015-16,6,575773,282756,293017,chhattisgarh,CHHATTISGARH
2015-16,7,550874,272678,278196,chhattisgarh,CHHATTISGARH
2015-16,8,537703,265137,272566,chhattisgarh,CHHATTISGARH
2014-15,1,572318,278290,294028,chhattisgarh,CHHATTISGARH
2014-15,2,545836,265973,279863,chhattisgarh,CHHATTISGARH
2014-15,3,572244,279417,292827,chhattisgarh,CHHATTISGARH
2014-15,4,589735,289507,300228,chhattisgarh,CHHATTISGARH
2014-15,5,607806,297883,309923,chhattisgarh,CHHATTISGARH
2014-15,6,564638,278324,286314,chhattisgarh,CHHATTISGARH
2014-15,7,552685,270172,282513,chhattisgarh,CHHATTISGARH
2014-15,8,543418,268859,274559,chhattisgarh,CHHATTISGARH
2013-14,1,552007,269018,282989,chhattisgarh,CHHATTISGARH
2013-14,2,574030,280628,293402,chhattisgarh,CHHATTISGARH
2013-14,3,596223,292286,303937,chhattisgarh,CHHATTISGARH
2013-14,4,613171,300206,312965,chhattisgarh,CHHATTISGARH
2013-14,5,587512,289298,298214,chhattisgarh,CHHATTISGARH
2013-14,6,557699,272545,285154,chhattisgarh,CHHATTISGARH
2013-14,7,548693,270949,277744,chhattisgarh,CHHATTISGARH
2013-14,8,560229,278443,281786,chhattisgarh,CHHATTISGARH
2016-17,1,8029,3693,4336,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,2,9030,4256,4774,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,3,7500,3592,3908,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,4,7722,3614,4108,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,5,4066,1836,2230,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,6,7945,3759,4186,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,7,7682,3575,4107,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,8,7306,3377,3929,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,1,9102,4271,4831,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,2,7560,3620,3940,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,3,7618,3565,4053,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,4,4015,1794,2221,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,5,7901,3740,4161,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,6,7737,3576,4161,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,7,7451,3458,3993,dadra & nagar haveli,DADRA & NAGAR HAVELI
2015-16,8,7590,3548,4042,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,1,7702,3685,4017,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,2,7787,3589,4198,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,3,4028,1806,2222,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,4,8027,3802,4225,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,5,7814,3627,4187,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,6,7601,3512,4089,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,7,7812,3639,4173,dadra & nagar haveli,DADRA & NAGAR HAVELI
2014-15,8,7426,3377,4049,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,1,7894,3658,4236,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,2,4099,1869,2230,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,3,8177,3895,4282,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,4,7889,3676,4213,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,5,7763,3607,4156,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,6,8018,3759,4259,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,7,7664,3498,4166,dadra & nagar haveli,DADRA & NAGAR HAVELI
2013-14,8,7289,3361,3928,dadra & nagar haveli,DADRA & NAGAR HAVELI
2016-17,1,3724,1744,1980,daman & diu,DAMAN & DIU
2016-17,2,3751,1787,1964,daman & diu,DAMAN & DIU
2016-17,3,3786,1814,1972,daman & diu,DAMAN & DIU
2016-17,4,3568,1632,1936,daman & diu,DAMAN & DIU
2016-17,5,3743,1738,2005,daman & diu,DAMAN & DIU
2016-17,6,3511,1602,1909,daman & diu,DAMAN & DIU
2016-17,7,3326,1554,1772,daman & diu,DAMAN & DIU
2016-17,8,3242,1518,1724,daman & diu,DAMAN & DIU
2015-16,1,3575,1670,1905,daman & diu,DAMAN & DIU
2015-16,2,3760,1768,1992,daman & diu,DAMAN & DIU
2015-16,3,3560,1627,1933,daman & diu,DAMAN & DIU
2015-16,4,3726,1716,2010,daman & diu,DAMAN & DIU
2015-16,5,3524,1607,1917,daman & diu,DAMAN & DIU
2015-16,6,3386,1562,1824,daman & diu,DAMAN & DIU
2015-16,7,3277,1547,1730,daman & diu,DAMAN & DIU
2015-16,8,3170,1498,1672,daman & diu,DAMAN & DIU
2014-15,1,3598,1679,1919,daman & diu,DAMAN & DIU
2014-15,2,3606,1650,1956,daman & diu,DAMAN & DIU
2014-15,3,3826,1725,2101,daman & diu,DAMAN & DIU
2014-15,4,3603,1646,1957,daman & diu,DAMAN & DIU
2014-15,5,3526,1606,1920,daman & diu,DAMAN & DIU
2014-15,6,3430,1606,1824,daman & diu,DAMAN & DIU
2014-15,7,3295,1544,1751,daman & diu,DAMAN & DIU
2014-15,8,3273,1474,1799,daman & diu,DAMAN & DIU
2013-14,1,3525,1606,1919,daman & diu,DAMAN & DIU
2013-14,2,3869,1766,2103,daman & diu,DAMAN & DIU
2013-14,3,3662,1657,2005,daman & diu,DAMAN & DIU
2013-14,4,3532,1612,1920,daman & diu,DAMAN & DIU
2013-14,5,3564,1647,1917,daman & diu,DAMAN & DIU
2013-14,6,3481,1638,1843,daman & diu,DAMAN & DIU
2013-14,7,3426,1555,1871,daman & diu,DAMAN & DIU
2013-14,8,3102,1431,1671,daman & diu,DAMAN & DIU
2016-17,1,335091,157994,177097,delhi,DELHI
2016-17,2,362778,171495,191283,delhi,DELHI
2016-17,3,381469,179966,201503,delhi,DELHI
2016-17,4,381868,177373,204495,delhi,DELHI
2016-17,5,399916,183751,216165,delhi,DELHI
2016-17,6,384296,178966,205330,delhi,DELHI
2016-17,7,373991,175043,198948,delhi,DELHI
2016-17,8,369092,171318,197774,delhi,DELHI
2015-16,1,344298,163184,181114,delhi,DELHI
2015-16,2,370904,175583,195321,delhi,DELHI
2015-16,3,377912,176382,201530,delhi,DELHI
2015-16,4,385629,178000,207629,delhi,DELHI
2015-16,5,408231,186538,221693,delhi,DELHI
2015-16,6,379567,177009,202558,delhi,DELHI
2015-16,7,369204,171817,197387,delhi,DELHI
2015-16,8,371265,175645,195620,delhi,DELHI
2014-15,1,345644,164833,180811,delhi,DELHI
2014-15,2,363293,170382,192911,delhi,DELHI
2014-15,3,376026,175125,200901,delhi,DELHI
2014-15,4,390043,179618,210425,delhi,DELHI
2014-15,5,400508,183460,217048,delhi,DELHI
2014-15,6,376386,174165,202221,delhi,DELHI
2014-15,7,372615,176627,195988,delhi,DELHI
2014-15,8,366552,168354,198198,delhi,DELHI
2013-14,1,329237,155718,173519,delhi,DELHI
2013-14,2,355773,166875,188898,delhi,DELHI
2013-14,3,378517,175560,202957,delhi,DELHI
2013-14,4,380314,175660,204654,delhi,DELHI
2013-14,5,384900,175645,209255,delhi,DELHI
2013-14,6,384000,181430,202570,delhi,DELHI
2013-14,7,370305,169641,200664,delhi,DELHI
2013-14,8,361145,164950,196195,delhi,DELHI
2016-17,1,24846,11786,13060,goa,GOA
2016-17,2,24757,11893,12864,goa,GOA
2016-17,3,24208,11560,12648,goa,GOA
2016-17,4,24177,11657,12520,goa,GOA
2016-17,5,24302,11536,12766,goa,GOA
2016-17,6,23883,11418,12465,goa,GOA
2016-17,7,23921,11389,12532,goa,GOA
2016-17,8,23490,11104,12386,goa,GOA
2015-16,1,25371,12128,13243,goa,GOA
2015-16,2,24728,11902,12826,goa,GOA
2015-16,3,24571,11890,12681,goa,GOA
2015-16,4,24711,11828,12883,goa,GOA
2015-16,5,24407,11656,12751,goa,GOA
2015-16,6,24492,11706,12786,goa,GOA
2015-16,7,23902,11373,12529,goa,GOA
2015-16,8,24127,11499,12628,goa,GOA
2014-15,1,25297,12176,13121,goa,GOA
2014-15,2,24635,11964,12671,goa,GOA
2014-15,3,24764,11819,12945,goa,GOA
2014-15,4,24673,11845,12828,goa,GOA
2014-15,5,24486,11694,12792,goa,GOA
2014-15,6,24016,11412,12604,goa,GOA
2014-15,7,24267,11514,12753,goa,GOA
2014-15,8,24390,11681,12709,goa,GOA
2013-14,1,24722,11986,12736,goa,GOA
2013-14,2,24768,11856,12912,goa,GOA
2013-14,3,24694,11852,12842,goa,GOA
2013-14,4,24659,11848,12811,goa,GOA
2013-14,5,23977,11387,12590,goa,GOA
2013-14,6,24378,11579,12799,goa,GOA
2013-14,7,24389,11659,12730,goa,GOA
2013-14,8,26497,12295,14202,goa,GOA
2016-17,1,1126865,529918,596947,gujarat,GUJARAT
2016-17,2,1105071,520978,584093,gujarat,GUJARAT
2016-17,3,1029067,484873,544194,gujarat,GUJARAT
2016-17,4,1117426,529153,588273,gujarat,GUJARAT
2016-17,5,1137889,534405,603484,gujarat,GUJARAT
2016-17,6,1202839,555581,647258,gujarat,GUJARAT
2016-17,7,1169111,535695,633416,gujarat,GUJARAT
2016-17,8,1123905,506960,616945,gujarat,GUJARAT
2015-16,1,1125292,529172,596120,gujarat,GUJARAT
2015-16,2,1033847,486937,546910,gujarat,GUJARAT
2015-16,3,1122324,531396,590928,gujarat,GUJARAT
2015-16,4,1138115,536672,601443,gujarat,GUJARAT
2015-16,5,1228467,568864,659603,gujarat,GUJARAT
2015-16,6,1190336,546625,643711,gujarat,GUJARAT
2015-16,7,1157420,525782,631638,gujarat,GUJARAT
2015-16,8,1094913,491614,603299,gujarat,GUJARAT
2014-15,1,1049069,493198,555871,gujarat,GUJARAT
2014-15,2,1126299,533239,593060,gujarat,GUJARAT
2014-15,3,1141293,538632,602661,gujarat,GUJARAT
2014-15,4,1235991,573474,662517,gujarat,GUJARAT
2014-15,5,1212030,558403,653627,gujarat,GUJARAT
2014-15,6,1175504,536138,639366,gujarat,GUJARAT
2014-15,7,1124975,509774,615201,gujarat,GUJARAT
2014-15,8,1077290,479173,598117,gujarat,GUJARAT
2013-14,1,1143578,541609,601969,gujarat,GUJARAT
