Year,grade,total,girls,boys,State
2016-17,8,6146,3020,3126,A & N ISLANDS
2016-17,9,6685,3106,3579,A & N ISLANDS
2016-17,10,5744,2861,2883,A & N ISLANDS
2016-17,11,6001,2898,3103,A & N ISLANDS
2016-17,12,4496,2429,2067,A & N ISLANDS
2015-16,8,6140,2980,3160,A & N ISLANDS
2015-16,9,6890,3240,3650,A & N ISLANDS
2015-16,10,5929,2948,2981,A & N ISLANDS
2015-16,11,5896,2895,3001,A & N ISLANDS
2015-16,12,4865,2492,2373,A & N ISLANDS
2014-15,8,6458,3158,3300,A & N ISLANDS
2014-15,9,7039,3255,3784,A & N ISLANDS
2014-15,10,5903,3028,2875,A & N ISLANDS
2014-15,11,6555,3054,3501,A & N ISLANDS
2014-15,12,5259,2601,2658,A & N ISLANDS
2013-14,8,6716,3245,3471,A & N ISLANDS
2013-14,9,6728,3296,3432,A & N ISLANDS
2013-14,10,6551,3161,3390,A & N ISLANDS
2013-14,11,6698,3049,3649,A & N ISLANDS
2013-14,12,5083,2558,2525,A & N ISLANDS
2016-17,8,690345,334787,355558,ANDHRA PRADESH
2016-17,9,651149,315623,335526,ANDHRA PRADESH
2016-17,10,635428,306039,329389,ANDHRA PRADESH
2016-17,11,0,0,0,ANDHRA PRADESH
2016-17,12,0,0,0,ANDHRA PRADESH
2015-16,8,664448,323072,341376,ANDHRA PRADESH
2015-16,9,643769,311772,331997,ANDHRA PRADESH
2015-16,10,629596,306223,323373,ANDHRA PRADESH
2015-16,11,445516,219927,225589,ANDHRA PRADESH
2015-16,12,491084,237311,253773,ANDHRA PRADESH
2014-15,8,681449,330754,350695,ANDHRA PRADESH
2014-15,9,654648,319883,334765,ANDHRA PRADESH
2014-15,10,621042,303605,317437,ANDHRA PRADESH
2014-15,11,434511,209868,224643,ANDHRA PRADESH
2014-15,12,387303,186133,201170,ANDHRA PRADESH
2013-14,8,1241936,613257,628679,ANDHRA PRADESH
2013-14,9,1171353,579966,591387,ANDHRA PRADESH
2013-14,10,1065150,522933,542217,ANDHRA PRADESH
2013-14,11,810332,393680,416652,ANDHRA PRADESH
2013-14,12,794214,385124,409090,ANDHRA PRADESH
2012-13,8,1214822,601821,613001,ANDHRA PRADESH
2012-13,9,1096495,541069,555426,ANDHRA PRADESH
2012-13,10,1047261,513090,534171,ANDHRA PRADESH
2012-13,11,797356,376754,420602,ANDHRA PRADESH
2012-13,12,691272,331838,359434,ANDHRA PRADESH
2016-17,8,29322,14867,14455,ARUNACHAL PRADESH
2016-17,9,28253,13610,14643,ARUNACHAL PRADESH
2016-17,10,23205,11512,11693,ARUNACHAL PRADESH
2016-17,11,14228,7087,7141,ARUNACHAL PRADESH
2016-17,12,14874,7534,7340,ARUNACHAL PRADESH
2015-16,8,32492,16252,16240,ARUNACHAL PRADESH
2015-16,9,29151,13959,15192,ARUNACHAL PRADESH
2015-16,10,24517,12024,12493,ARUNACHAL PRADESH
2015-16,11,19190,9479,9711,ARUNACHAL PRADESH
2015-16,12,15964,7918,8046,ARUNACHAL PRADESH
2014-15,8,32123,16022,16101,ARUNACHAL PRADESH
2014-15,9,29107,13887,15220,ARUNACHAL PRADESH
2014-15,10,23676,11649,12027,ARUNACHAL PRADESH
2014-15,11,19490,9571,9919,ARUNACHAL PRADESH
2014-15,12,15579,7696,7883,ARUNACHAL PRADESH
2013-14,8,31540,15807,15733,ARUNACHAL PRADESH
2013-14,9,27636,13257,14379,ARUNACHAL PRADESH
2013-14,10,23400,11212,12188,ARUNACHAL PRADESH
2013-14,11,18308,8901,9407,ARUNACHAL PRADESH
2013-14,12,15324,7547,7777,ARUNACHAL PRADESH
2012-13,8,30314,15083,15231,ARUNACHAL PRADESH
2012-13,9,25486,12002,13484,ARUNACHAL PRADESH
2012-13,10,22752,10947,11805,ARUNACHAL PRADESH
2012-13,11,15964,7661,8303,ARUNACHAL PRADESH
2012-13,12,14848,6984,7864,ARUNACHAL PRADESH
2016-17,8,564533,293201,271332,ASSAM
2016-17,9,546782,284229,262553,ASSAM
2016-17,10,430946,222501,208445,ASSAM
2016-17,11,231876,113939,117937,ASSAM
2016-17,12,207233,99439,107794,ASSAM
2015-16,8,537940,279266,258674,ASSAM
2015-16,9,543437,281388,262049,ASSAM
2015-16,10,422203,218710,203493,ASSAM
2015-16,11,229691,109223,120468,ASSAM
2015-16,12,199102,95355,103747,ASSAM
2014-15,8,578038,300081,277957,ASSAM
2014-15,9,535405,279632,255773,ASSAM
2014-15,10,406365,211424,194941,ASSAM
2014-15,11,186269,90460,95809,ASSAM
2014-15,12,190630,93609,97021,ASSAM
2013-14,8,587946,304371,283575,ASSAM
2013-14,9,517378,271334,246044,ASSAM
2013-14,10,392792,206005,186787,ASSAM
2013-14,11,201400,98396,103004,ASSAM
2013-14,12,163655,79455,84200,ASSAM
2012-13,8,575442,297752,277690,ASSAM
2012-13,9,502865,263456,239409,ASSAM
2012-13,10,361852,188084,173768,ASSAM
2012-13,11,167094,80989,86105,ASSAM
2012-13,12,148459,72629,75830,ASSAM
2016-17,8,2220132,1130593,1089539,BIHAR
2016-17,9,1716740,867037,849703,BIHAR
2016-17,10,1632166,820555,811611,BIHAR
2016-17,11,419463,179561,239902,BIHAR
2016-17,12,581152,278090,303062,BIHAR
2015-16,8,2304150,1170384,1133766,BIHAR
2015-16,9,1805886,912563,893323,BIHAR
2015-16,10,1615541,792177,823364,BIHAR
2015-16,11,634811,298735,336076,BIHAR
2015-16,12,601614,275002,326612,BIHAR
2014-15,8,2122733,1077217,1045516,BIHAR
2014-15,9,1616397,799567,816830,BIHAR
2014-15,10,1421772,688636,733136,BIHAR
2014-15,11,562075,255255,306820,BIHAR
2014-15,12,519438,230750,288688,BIHAR
2013-14,8,1768836,887578,881258,BIHAR
2013-14,9,1408840,687268,721572,BIHAR
2013-14,10,1253706,593343,660363,BIHAR
2013-14,11,427435,196360,231075,BIHAR
2013-14,12,370917,169502,201415,BIHAR
2012-13,8,1456188,732870,723318,BIHAR
2012-13,9,1295375,626061,669314,BIHAR
2012-13,10,1132480,532795,599685,BIHAR
2012-13,11,332276,153828,178448,BIHAR
2012-13,12,270874,118869,152005,BIHAR
2016-17,8,21692,9913,11779,CHANDIGARH
2016-17,9,22797,9796,13001,CHANDIGARH
2016-17,10,18588,8491,10097,CHANDIGARH
2016-17,11,21767,9273,12494,CHANDIGARH
2016-17,12,18092,7906,10186,CHANDIGARH
2015-16,8,21295,9488,11807,CHANDIGARH
2015-16,9,22579,9737,12842,CHANDIGARH
2015-16,10,17673,7931,9742,CHANDIGARH
2015-16,11,21271,9029,12242,CHANDIGARH
2015-16,12,18637,8041,10596,CHANDIGARH
2014-15,8,21321,9406,11915,CHANDIGARH
2014-15,9,21545,9140,12405,CHANDIGARH
2014-15,10,16708,7600,9108,CHANDIGARH
2014-15,11,20948,8790,12158,CHANDIGARH
2014-15,12,17943,7681,10262,CHANDIGARH
2013-14,8,20498,8848,11650,CHANDIGARH
2013-14,9,20236,8826,11410,CHANDIGARH
2013-14,10,17691,7737,9954,CHANDIGARH
2013-14,11,20372,8420,11952,CHANDIGARH
2013-14,12,17261,7726,9535,CHANDIGARH
2012-13,8,20193,8868,11325,CHANDIGARH
2012-13,9,18479,8070,10409,CHANDIGARH
2012-13,10,17294,7513,9781,CHANDIGARH
2012-13,11,20296,8695,11601,CHANDIGARH
2012-13,12,15750,7144,8606,CHANDIGARH
2016-17,8,531875,266455,265420,CHHATTISGARH
2016-17,9,518240,256616,261624,CHHATTISGARH
2016-17,10,425463,223159,202304,CHHATTISGARH
2016-17,11,277274,144149,133125,CHHATTISGARH
2016-17,12,277695,138244,139451,CHHATTISGARH
2015-16,8,537703,265137,272566,CHHATTISGARH
2015-16,9,530086,262051,268035,CHHATTISGARH
2015-16,10,459617,239240,220377,CHHATTISGARH
2015-16,11,268886,137133,131753,CHHATTISGARH
2015-16,12,281511,135927,145584,CHHATTISGARH
2014-15,8,543418,268859,274559,CHHATTISGARH
2014-15,9,555732,275442,280290,CHHATTISGARH
2014-15,10,436551,224799,211752,CHHATTISGARH
2014-15,11,269160,135097,134063,CHHATTISGARH
2014-15,12,286756,135555,151201,CHHATTISGARH
2013-14,8,560229,278443,281786,CHHATTISGARH
2013-14,9,530387,263664,266723,CHHATTISGARH
2013-14,10,451710,229030,222680,CHHATTISGARH
2013-14,11,265814,131724,134090,CHHATTISGARH
2013-14,12,262673,123407,139266,CHHATTISGARH
2012-13,8,548879,272014,276865,CHHATTISGARH
2012-13,9,461228,227768,233460,CHHATTISGARH
2012-13,10,423065,214622,208443,CHHATTISGARH
2012-13,11,231373,113593,117780,CHHATTISGARH
2012-13,12,221383,101177,120206,CHHATTISGARH
2016-17,8,7306,3377,3929,DADRA & NAGAR HAVELI
2016-17,9,7529,3354,4175,DADRA & NAGAR HAVELI
2016-17,10,5779,2687,3092,DADRA & NAGAR HAVELI
2016-17,11,3135,1420,1715,DADRA & NAGAR HAVELI
2016-17,12,3871,1918,1953,DADRA & NAGAR HAVELI
2015-16,8,7590,3548,4042,DADRA & NAGAR HAVELI
2015-16,9,6982,3057,3925,DADRA & NAGAR HAVELI
2015-16,10,5948,2774,3174,DADRA & NAGAR HAVELI
2015-16,11,4424,2072,2352,DADRA & NAGAR HAVELI
2015-16,12,2140,1047,1093,DADRA & NAGAR HAVELI
2014-15,8,7426,3377,4049,DADRA & NAGAR HAVELI
2014-15,9,6732,3037,3695,DADRA & NAGAR HAVELI
2014-15,10,5884,2700,3184,DADRA & NAGAR HAVELI
2014-15,11,2419,1110,1309,DADRA & NAGAR HAVELI
2014-15,12,2584,1258,1326,DADRA & NAGAR HAVELI
2013-14,8,7289,3361,3928,DADRA & NAGAR HAVELI
2013-14,9,6398,2875,3523,DADRA & NAGAR HAVELI
2013-14,10,5239,2346,2893,DADRA & NAGAR HAVELI
2013-14,11,2787,1331,1456,DADRA & NAGAR HAVELI
2013-14,12,2320,1066,1254,DADRA & NAGAR HAVELI
2012-13,8,6945,3204,3741,DADRA & NAGAR HAVELI
2012-13,9,5588,2469,3119,DADRA & NAGAR HAVELI
2012-13,10,5011,2241,2770,DADRA & NAGAR HAVELI
2012-13,11,2592,1123,1469,DADRA & NAGAR HAVELI
2012-13,12,3363,1426,1937,DADRA & NAGAR HAVELI
2016-17,8,3242,1518,1724,DAMAN & DIU
2016-17,9,3263,1531,1732,DAMAN & DIU
2016-17,10,2847,1323,1524,DAMAN & DIU
2016-17,11,1974,979,995,DAMAN & DIU
2016-17,12,1579,783,796,DAMAN & DIU
2015-16,8,3170,1498,1672,DAMAN & DIU
2015-16,9,3250,1440,1810,DAMAN & DIU
2015-16,10,2836,1355,1481,DAMAN & DIU
2015-16,11,1221,585,636,DAMAN & DIU
2015-16,12,990,499,491,DAMAN & DIU
2014-15,8,3273,1474,1799,DAMAN & DIU
2014-15,9,3094,1435,1659,DAMAN & DIU
2014-15,10,2905,1330,1575,DAMAN & DIU
2014-15,11,1655,774,881,DAMAN & DIU
2014-15,12,2040,1036,1004,DAMAN & DIU
2013-14,8,3102,1431,1671,DAMAN & DIU
2013-14,9,3149,1435,1714,DAMAN & DIU
2013-14,10,2555,1207,1348,DAMAN & DIU
2013-14,11,2251,1084,1167,DAMAN & DIU
2013-14,12,1956,943,1013,DAMAN & DIU
2012-13,8,3081,1404,1677,DAMAN & DIU
2012-13,9,2708,1250,1458,DAMAN & DIU
2012-13,10,2727,1362,1365,DAMAN & DIU
2012-13,11,1979,900,1079,DAMAN & DIU
2012-13,12,1926,881,1045,DAMAN & DIU
2016-17,8,369092,171318,197774,DELHI
2016-17,9,452824,213369,239455,DELHI
2016-17,10,288107,136008,152099,DELHI
2016-17,11,266239,128156,138083,DELHI
2016-17,12,225566,110888,114678,DELHI
2015-16,8,371265,175645,195620,DELHI
2015-16,9,428455,194757,233698,DELHI
2015-16,10,263226,126391,136835,DELHI
2015-16,11,281788,133575,148213,DELHI
2015-16,12,234682,115447,119235,DELHI
2014-15,8,366552,168354,198198,DELHI
2014-15,9,397640,179895,217745,DELHI
2014-15,10,254503,122057,132446,DELHI
2014-15,11,320633,148239,172394,DELHI
2014-15,12,241144,118736,122408,DELHI
2013-14,8,361145,164950,196195,DELHI
2013-14,9,346261,155769,190492,DELHI
2013-14,10,297209,138076,159133,DELHI
2013-14,11,334839,152999,181840,DELHI
2013-14,12,265177,130570,134607,DELHI
2012-13,8,341284,156447,184837,DELHI
2012-13,9,329270,147561,181709,DELHI
2012-13,10,315002,146235,168767,DELHI
2012-13,11,346775,158248,188527,DELHI
2012-13,12,233342,113896,119446,DELHI
2016-17,8,23490,11104,12386,GOA
2016-17,9,28476,12710,15766,GOA
2016-17,10,19837,10012,9825,GOA
2016-17,11,19832,9996,9836,GOA
2016-17,12,17244,8940,8304,GOA
2015-16,8,24127,11499,12628,GOA
2015-16,9,29566,13386,16180,GOA
2015-16,10,21098,10624,10474,GOA
2015-16,11,19763,9687,10076,GOA
2015-16,12,15990,8311,7679,GOA
2014-15,8,24390,11681,12709,GOA
2014-15,9,30620,13578,17042,GOA
2014-15,10,20677,10207,10470,GOA
2014-15,11,18876,9257,9619,GOA
2014-15,12,16170,8466,7704,GOA
2013-14,8,18856,9289,9567,GOA
2013-14,9,12050,5981,6069,GOA
2013-14,10,26497,12295,14202,GOA
2013-14,11,28417,12743,15674,GOA
2013-14,12,19116,9465,9651,GOA
2012-13,8,23883,11097,12786,GOA
2012-13,9,25937,11838,14099,GOA
2012-13,10,19184,9533,9651,GOA
2012-13,11,13736,6399,7337,GOA
2012-13,12,12350,6275,6075,GOA
2016-17,8,1123905,506960,616945,GUJARAT
2016-17,9,930398,391750,538648,GUJARAT
2016-17,10,817015,336126,480889,GUJARAT
2016-17,11,495305,220712,274593,GUJARAT
2016-17,12,449899,200973,248926,GUJARAT
2015-16,8,1094913,491614,603299,GUJARAT
2015-16,9,913469,378340,535129,GUJARAT
2015-16,10,824156,336461,487695,GUJARAT
2015-16,11,480304,213600,266704,GUJARAT
2015-16,12,470499,207042,263457,GUJARAT
2014-15,8,1077290,479173,598117,GUJARAT
2014-15,9,910360,373259,537101,GUJARAT
2014-15,10,836025,344693,491332,GUJARAT
2014-15,11,505235,218294,286941,GUJARAT
2014-15,12,480737,210260,270477,GUJARAT
2013-14,8,1057298,468724,588574,GUJARAT
2013-14,9,919458,382143,537315,GUJARAT
2013-14,10,799874,322473,477401,GUJARAT
2013-14,11,521119,224047,297072,GUJARAT
2013-14,12,462104,198913,263191,GUJARAT
2012-13,8,1041140,468158,572982,GUJARAT
2012-13,9,803800,331517,472283,GUJARAT
2012-13,10,727370,297653,429717,GUJARAT
2012-13,11,463047,198942,264105,GUJARAT
2012-13,12,446399,193090,253309,GUJARAT
2016-17,8,472895,213677,259218,HARYANA
2016-17,9,478040,211821,266219,HARYANA
2016-17,10,423277,185253,238024,HARYANA
2016-17,11,324986,143218,181768,HARYANA
2016-17,12,282816,124629,158187,HARYANA
2015-16,8,462240,209948,252292,HARYANA
2015-16,9,456586,200143,256443,HARYANA
2015-16,10,422504,185481,237023,HARYANA
2015-16,11,292046,129804,162242,HARYANA
2015-16,12,303909,133727,170182,HARYANA
2014-15,8,476340,213403,262937,HARYANA
2014-15,9,447347,195511,251836,HARYANA
2014-15,10,416612,182386,234226,HARYANA
2014-15,11,321562,140752,180810,HARYANA
2014-15,12,311839,135366,176473,HARYANA
2013-14,8,468343,209350,258993,HARYANA
2013-14,9,428038,188994,239044,HARYANA
2013-14,10,420216,185215,235001,HARYANA
2013-14,11,318382,139696,178686,HARYANA
2013-14,12,306402,135218,171184,HARYANA
2012-13,8,438203,195483,242720,HARYANA
2012-13,9,415865,184842,231023,HARYANA
2012-13,10,399102,177060,222042,HARYANA
2012-13,11,301752,133704,168048,HARYANA
2012-13,12,286022,127876,158146,HARYANA
2016-17,8,124508,59071,65437,HIMACHAL PRADESH
2016-17,9,125735,58755,66980,HIMACHAL PRADESH
2016-17,10,122474,57156,65318,HIMACHAL PRADESH
2016-17,11,112047,52348,59699,HIMACHAL PRADESH
2016-17,12,106119,50501,55618,HIMACHAL PRADESH
2015-16,8,121808,57629,64179,HIMACHAL PRADESH
2015-16,9,126550,58574,67976,HIMACHAL PRADESH
2015-16,10,129347,59755,69592,HIMACHAL PRADESH
2015-16,11,117108,54804,62304,HIMACHAL PRADESH
2015-16,12,109489,52376,57113,HIMACHAL PRADESH
2014-15,8,122413,57756,64657,HIMACHAL PRADESH
2014-15,9,130258,59760,70498,HIMACHAL PRADESH
2014-15,10,135253,63053,72200,HIMACHAL PRADESH
2014-15,11,119932,56005,63927,HIMACHAL PRADESH
2014-15,12,98924,47797,51127,HIMACHAL PRADESH
2013-14,8,124842,58287,66555,HIMACHAL PRADESH
2013-14,9,135662,62566,73096,HIMACHAL PRADESH
2013-14,10,150191,69918,80273,HIMACHAL PRADESH
2013-14,11,106671,50529,56142,HIMACHAL PRADESH
2013-14,12,108861,52606,56255,HIMACHAL PRADESH
2012-13,8,127230,59448,67782,HIMACHAL PRADESH
2012-13,9,140121,64895,75226,HIMACHAL PRADESH
2012-13,10,146665,69220,77445,HIMACHAL PRADESH
2012-13,11,119828,56780,63048,HIMACHAL PRADESH
2012-13,12,103884,50375,53509,HIMACHAL PRADESH
2016-17,8,184837,86372,98465,JAMMU & KASHMIR
2016-17,9,173291,79985,93306,JAMMU & KASHMIR
2016-17,10,138900,64571,74329,JAMMU & KASHMIR
2016-17,11,113799,51728,62071,JAMMU & KASHMIR
2016-17,12,108874,49482,59392,JAMMU & KASHMIR
2015-16,8,196737,93203,103534,JAMMU & KASHMIR
2015-16,9,181043,84336,96707,JAMMU & KASHMIR
2015-16,10,157306,73657,83649,JAMMU & KASHMIR
2015-16,11,121548,55257,66291,JAMMU & KASHMIR
2015-16,12,125070,57471,67599,JAMMU & KASHMIR
2014-15,8,203537,96380,107157,JAMMU & KASHMIR
2014-15,9,192567,89702,102865,JAMMU & KASHMIR
2014-15,10,146066,67614,78452,JAMMU & KASHMIR
2014-15,11,138963,62850,76113,JAMMU & KASHMIR
2014-15,12,116187,52899,63288,JAMMU & KASHMIR
2013-14,8,211178,99730,111448,JAMMU & KASHMIR
2013-14,9,195139,89995,105144,JAMMU & KASHMIR
2013-14,10,145849,67448,78401,JAMMU & KASHMIR
2013-14,11,122667,54843,67824,JAMMU & KASHMIR
2013-14,12,104286,46982,57304,JAMMU & KASHMIR
2012-13,8,219624,102434,117190,JAMMU & KASHMIR
2012-13,9,194710,89780,104930,JAMMU & KASHMIR
2012-13,10,135502,61540,73962,JAMMU & KASHMIR
2012-13,11,113012,50062,62950,JAMMU & KASHMIR
2012-13,12,97750,42904,54846,JAMMU & KASHMIR
2016-17,8,586393,294550,291843,JHARKHAND
2016-17,9,466793,232173,234620,JHARKHAND
2016-17,10,417667,208501,209166,JHARKHAND
2016-17,11,231155,109777,121378,JHARKHAND
2016-17,12,198069,94418,103651,JHARKHAND
2015-16,8,666665,336789,329876,JHARKHAND
2015-16,9,539232,266011,273221,JHARKHAND
2015-16,10,486561,241547,245014,JHARKHAND
2015-16,11,279319,132928,146391,JHARKHAND
2015-16,12,280316,131116,149200,JHARKHAND
2014-15,8,670633,337266,333367,JHARKHAND
2014-15,9,536645,263779,272866,JHARKHAND
2014-15,10,477383,235882,241501,JHARKHAND
2014-15,11,288494,136286,152208,JHARKHAND
2014-15,12,273585,127224,146361,JHARKHAND
2013-14,8,662009,332789,329220,JHARKHAND
2013-14,9,521708,254848,266860,JHARKHAND
2013-14,10,482484,233161,249323,JHARKHAND
2013-14,11,266042,124692,141350,JHARKHAND
2013-14,12,240614,110853,129761,JHARKHAND
2012-13,8,621141,309353,311788,JHARKHAND
2012-13,9,492239,237780,254459,JHARKHAND
2012-13,10,435094,209141,225953,JHARKHAND
2012-13,11,204462,92685,111777,JHARKHAND
2012-13,12,183075,84124,98951,JHARKHAND
2016-17,8,935455,447592,487863,KARNATAKA
2016-17,9,904856,429842,475014,KARNATAKA
2016-17,10,895394,427561,467833,KARNATAKA
2016-17,11,24554,11806,12748,KARNATAKA
2016-17,12,2098,966,1132,KARNATAKA
2015-16,8,961735,462741,498994,KARNATAKA
2015-16,9,921628,438811,482817,KARNATAKA
2015-16,10,852636,411168,441468,KARNATAKA
2015-16,11,450940,228689,222251,KARNATAKA
2015-16,12,363277,189267,174010,KARNATAKA
2014-15,8,990403,474682,515721,KARNATAKA
2014-15,9,916784,436940,479844,KARNATAKA
2014-15,10,850206,409509,440697,KARNATAKA
2014-15,11,368729,185022,183707,KARNATAKA
2014-15,12,311613,162785,148828,KARNATAKA
2013-14,8,962361,459883,502478,KARNATAKA
2013-14,9,896324,429656,466668,KARNATAKA
2013-14,10,789011,380636,408375,KARNATAKA
2013-14,11,206019,105516,100503,KARNATAKA
2013-14,12,177355,93778,83577,KARNATAKA
2012-13,8,968336,464721,503615,KARNATAKA
2012-13,9,865645,413529,452116,KARNATAKA
2012-13,10,800950,388999,411951,KARNATAKA
2012-13,11,208824,105290,103534,KARNATAKA
2012-13,12,176553,90502,86051,KARNATAKA
2016-17,8,517666,252890,264776,KERALA
2016-17,9,530872,256112,274760,KERALA
2016-17,10,534311,261246,273065,KERALA
2016-17,11,420372,218977,201395,KERALA
2016-17,12,403512,211729,191783,KERALA
2015-16,8,525601,256314,269287,KERALA
2015-16,9,545641,263165,282476,KERALA
2015-16,10,552608,269913,282695,KERALA
2015-16,11,412089,214418,197671,KERALA
2015-16,12,393051,204797,188254,KERALA
2014-15,8,541423,263687,277736,KERALA
2014-15,9,563010,271019,291991,KERALA
2014-15,10,542420,265551,276869,KERALA
2014-15,11,395041,203792,191249,KERALA
2014-15,12,373520,195866,177654,KERALA
2013-14,8,555588,270826,284762,KERALA
2013-14,9,564898,270099,294799,KERALA
